sample code	particle size freq (%)
16.0	8.0	4.0	2.0	1.0	0.5	0.25	0.125	0.063	0.0315	0.01575	0.007875	0.0039375	0.00196875	0.000984375	0.0004921875	0.00024609375
21PXN011B	0	0.0	0.048032107	0.09464104	0.273605112	0.437981655	2.501939074	13.6695818	23.62041115	29.67690403	14.838452015	7.4192260075	3.70961300375	1.854806501875	0.9274032509375	0.46370162546875	0.46370162546875093
21PXN012B	0	0.66283071	2.187811436	4.074763543	5.516694559	8.514632419	11.27971769	7.63524567	10.14867465	24.98981466	12.49490733	6.247453665	3.1237268325	1.56186341625	0.780931708125	0.3904658540625	0.390465854062505
21PXN013B	0	0.263648055	4.522227997	4.511226855	5.626135678	8.94089352	13.92023793	10.47498378	8.661312778	21.539666705	10.7698333525	5.38491667625	2.692458338125	1.3462291690625	0.67311458453125	0.336557292265625	0.33655729226563125
21PXN014B	0	4.336644784	9.696934487	7.542748698	7.626793702	11.44096516	12.36739674	10.23954763	8.319293557	14.214837625	7.1074188125	3.55370940625	1.776854703125	0.8884273515625	0.44421367578125	0.222106837890625	0.22210683789062813
21PXN015B	0	0.0	0.0	0.014459175	0.305708276	6.764484134	9.559236142	6.577203389	12.00008262	32.38941313	16.194706565	8.0973532825	4.04867664125	2.024338320625	1.0121691603125	0.50608458015625	0.506084580156255
21PXN016B	0	0.357030721	0.629254508	1.88549769	5.464544551	4.745304059	8.788199536	11.65577448	6.23104387	30.121675295	15.0608376475	7.53041882375	3.765209411875	1.8826047059375	0.94130235296875	0.470651176484375	0.47065117648438104
21PXN017B	0	0.966623981	0.558690925	1.914802294	3.108095165	6.439311977	10.47430199	7.019995814	5.887006091	31.81558588	15.90779294	7.95389647	3.976948235	1.9884741175	0.99423705875	0.497118529375	0.4971185293750011
21PXN018B	0	11.73174209	17.31070733	12.73482638	9.363831308	14.69952887	23.33000288	8.273075875	1.702873797	0.426705737	0.2133528685	0.10667643425	0.053338217125	0.0266691085625	0.01333455428125	0.006667277140625	0.006667277140625094
21PXN019B	0	0.241240449	1.630974643	1.719271801	2.079713413	4.294395338	9.676422451	9.383465096	7.991208126	31.49165434	15.74582717	7.872913585	3.9364567925	1.96822839625	0.984114198125	0.4920570990625	0.4920570990624995
21PXN020B	0	1.093458715	4.944650664	3.615936649	3.527179741	12.76647694	64.66056257	5.864884929	1.306607275	1.110121257	0.5550606285	0.27753031425	0.138765157125	0.0693825785625	0.03469128928125	0.017345644640625	0.017345644640624602
21PXN021B	0	0.498821445	2.587565871	3.218130227	3.889981533	9.276052067	20.32931974	14.79874488	9.286186137	18.05759905	9.028799525	4.5143997625	2.25719988125	1.128599940625	0.5642999703125	0.28214998515625	0.282149985156245
21PXN022B	0	1.137564179	3.466525803	3.19231261	3.844368031	6.355016924	12.98357413	10.89787157	8.715942048	24.703412355	12.3517061775	6.17585308875	3.087926544375	1.5439632721875	0.77198163609375	0.385990818046875	0.38599081804687074
21PXN023B	0	1.158934481	3.030812005	3.669423142	4.673261241	6.511189096	10.75096667	10.21384718	10.43862972	24.776468235	12.3882341175	6.19411705875	3.097058529375	1.5485292646875	0.77426463234375	0.387132316171875	0.38713231617187205
21PXN024B	0	8.093483065	11.83678314	8.18137203	7.478581074	19.27526888	32.36013947	6.669617683	3.055905721	1.5244244715	0.76221223575	0.381106117875	0.1905530589375	0.09527652946875	0.047638264734375	0.0238191323671875	0.023819132367187468
21PXN033B	0	2.665530004	4.708568438	2.997666184	4.657925056	9.911753907	20.27803217	15.71337534	9.616756207	14.72519635	7.362598175	3.6812990875	1.84064954375	0.920324771875	0.4601623859375	0.23008119296875	0.23008119296874696
21PXN034B	0	1.925866402	3.14485539	3.053941965	4.933840905	9.051163488	17.45742051	13.65608167	10.61031169	18.08325899	9.041629495	4.5208147475	2.26040737375	1.130203686875	0.5651018434375	0.28255092171875	0.2825509217187445
21PXN035B	0	1.085419003	3.135194719	3.30245183	5.194527985	9.275920073	23.93178459	16.73335712	11.00870374	13.16632047	6.583160235	3.2915801175	1.64579005875	0.822895029375	0.4114475146875	0.20572375734375	0.20572375734375115
21PXN036B	0	3.266459936	2.423889393	3.242131954	3.693056246	7.758570474	20.31557847	17.92149943	12.28905755	14.544878275	7.2724391375	3.63621956875	1.818109784375	0.9090548921875	0.45452744609375	0.227263723046875	0.22726372304687814
21PXN037B	0	1.642460244	4.086787841	2.998564668	3.813932667	7.774951327	13.50348885	11.51320932	10.25871502	22.20394503	11.101972515	5.5509862575	2.77549312875	1.387746564375	0.6938732821875	0.34693664109375	0.3469366410937482
21PXN038B	0	6.565337851	2.104755188	3.529185466	3.508600238	7.298644412	15.26614	13.77691687	10.71646717	18.6169764	9.3084882	4.6542441	2.32712205	1.163561025	0.5817805125	0.29089025625	0.29089025625000176
21PXN039B	0	4.700087688	4.584413888	4.986287058	4.14224146	6.726618034	11.09871453	10.57221217	10.79385809	21.19778354	10.59889177	5.299445885	2.6497229425	1.32486147125	0.662430735625	0.3312153678125	0.33121536781250427
21PXN040B	0	2.197074739	3.980160129	3.868182103	4.126390257	7.26902062	11.37169788	10.97483459	8.341374893	23.935632395	11.9678161975	5.98390809875	2.991954049375	1.4959770246875	0.74798851234375	0.373994256171875	0.3739942561718692
21PXN041B	0	0.0	3.02826488	3.832150596	3.469677076	3.876855663	10.75499207	44.11906852	21.66947248	4.624759358	2.312379679	1.1561898395	0.57809491975	0.289047459875	0.1445237299375	0.07226186496875	0.07226186496874831
